idx,time_s,raw,distance_m,distance_mm
0,0.000000,54015,27.454218,27454
1,0.004000,53759,27.324101,27324
2,0.006000,44546,22.641407,22641
3,0.006000,44754,22.747127,22747
4,0.006000,65489,33.286111,33286
5,0.006000,65454,33.268322,33268
6,0.006000,65198,33.138205,33138
7,0.006000,1535,0.780195,780
8,0.006000,42495,21.598945,21599
9,0.006000,41982,21.338202,21338
10,0.007000,23813,12.103440,12103
11,0.007000,23973,12.184763,12185
12,0.007000,65187,33.132614,33133
13,0.007000,65117,33.097035,33097
14,0.007000,64605,32.836800,32837
15,0.007000,3070,1.560390,1560
16,0.007000,19454,9.887890,9888
17,0.007000,18428,9.366404,9366
18,0.007000,47627,24.207388,24207
19,0.007000,47947,24.370034,24370
20,0.007000,64839,32.955736,32956
21,0.007000,64954,33.014187,33014
22,0.007000,63931,32.494226,32494
23,0.007000,6141,3.121288,3121
24,0.007000,38909,19.776288,19776
25,0.007000,36857,18.733317,18733
26,0.007000,29719,15.105284,15105
27,0.007000,30615,15.560694,15561
28,0.007000,64399,32.732097,32732
29,0.008000,64116,32.588256,32588
30,0.008000,62071,31.548844,31549
31,0.008000,12282,6.242575,6243
32,0.008000,11,0.005591,6
33,0.008000,12282,6.242575,6243
34,0.008000,8178,4.156634,4157
35,0.008000,59439,30.211076,30211
36,0.008000,60975,30.991779,30992
37,0.008000,63007,32.024585,32025
38,0.008000,62952,31.996630,31997
39,0.008000,58862,29.917804,29918
40,0.008000,24566,12.486167,12486
41,0.008000,24565,12.485659,12486
42,0.008000,16357,8.313777,8314
43,0.008000,53343,27.112661,27113
44,0.008000,56671,28.804184,28804
45,0.008000,60735,30.869794,30870
46,0.008000,60112,30.553142,30553
47,0.008000,51933,26.396000,26396
48,0.008000,49133,24.972843,24973
49,0.008000,49130,24.971318,24971
50,0.008000,32714,16.627553,16628
51,0.009000,41151,20.915830,20916
52,0.009000,47807,24.298876,24299
53,0.009000,55935,28.430097,28430
54,0.009000,54688,27.796284,27796
55,0.009000,38330,19.481999,19482
56,0.009000,32730,16.635686,16636
57,0.009000,32725,16.633144,16633
58,0.009000,65429,33.255615,33256
59,0.009000,16511,8.392050,8392
60,0.009000,29823,15.158144,15158
61,0.009000,46335,23.550703,23551
62,0.009000,43840,22.282568,22283
63,0.009000,11124,5.653998,5654
64,0.009000,65451,33.266797,33267
65,0.009000,180,0.091489,91
66,0.009000,65451,33.266797,33267
67,0.009000,65323,33.201738,33202
68,0.009000,33279,16.914726,16915
69,0.009000,59903,30.446914,30447
70,0.009000,26879,13.661796,13662
71,0.009000,22401,11.385762,11386
72,0.009000,22505,11.438622,11439
73,0.009000,65384,33.232743,33233
74,0.010000,65367,33.224102,33224
75,0.010000,65367,33.224102,33224
76,0.010000,767,0.389843,390
77,0.010000,54015,27.454218,27454
78,0.010000,53759,27.324101,27324
79,0.010000,44546,22.641407,22641
80,0.010000,44754,22.747127,22747
81,0.010000,65489,33.286111,33286
82,0.010000,65454,33.268322,33268
83,0.010000,65198,33.138205,33138
84,0.011000,1535,0.780195,780
85,0.011000,42495,21.598945,21599
86,0.011000,41982,21.338202,21338
87,0.011000,23813,12.103440,12103
88,0.012000,23973,12.184763,12185
89,0.012000,65187,33.132614,33133
90,0.012000,65117,33.097035,33097
91,0.012000,64605,32.836800,32837
92,0.012000,3070,1.560390,1560
93,0.012000,19454,9.887890,9888
